OBJECTID *,Shape *,Join_Count,TARGET_FID,id,name,latitude,longitude,latitude_2,longitude_2,name_2,observation_time,temperature,temperature_high,temperature_low,humidity,solar_radiation,solar_radiation_high,rain,rain_inches_last_hour,wind_speed_mph,wind_direction_degrees,wind_gust_speed_mph,wind_gust_direction_degrees,pressure,soil_temp_1,soil_temp_2,soil_temp_3,soil_temp_4,soil_moist_1,soil_moist_2,soil_moist_3,soil_moist_4,Temp_IDWalt,Temp_EBKalt,AREA,PERIMETER,NAME_U,NAME_L,NCAPC,CNTY_FIPS,STFID,POP2000,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Shape__Are,Shape__Len
48,Point Z,1,48,75,Chalmers,40.689716,-86.90624,40.689716,-86.90624,Chalmers,2021-02-23T23:30:00Z,36,37,36,87,<Null>,32767,0,0,5,180,7,180,29.828,32,32,33,34,13,7,8,9,36.02203,36.61862,1316738458,170432.3147,WHITE,White,91,181,18181,25267,24054,40,64,62,9,805,233,1349,12429,12838,1619,4905,1136,2435,3453,3829,4143,3747,37.6,36,39.1,9727,2.57,863,1335,2409,3463,251,492,7093,2.99,12083,2356,7448,2279,2298475193,225126.9481
49,Point Z,1,49,76,Wolcott,40.673137,-87.021874,40.673137,-87.021874,Wolcott,2021-02-23T23:30:00Z,40,40,40,1,<Null>,32767,0,0,5,225,8,247.5,29.904,32,32,33,33,42,29,12,7,39.94338,38.27631,1316738458,170432.3147,WHITE,White,91,181,18181,25267,24054,40,64,62,9,805,233,1349,12429,12838,1619,4905,1136,2435,3453,3829,4143,3747,37.6,36,39.1,9727,2.57,863,1335,2409,3463,251,492,7093,2.99,12083,2356,7448,2279,2298475193,225126.9481
50,Point Z,1,50,77,Wolcott,40.743364,-87.049567,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,36.37828,36.28248,1316738458,170432.3147,WHITE,White,91,181,18181,25267,24054,40,64,62,9,805,233,1349,12429,12838,1619,4905,1136,2435,3453,3829,4143,3747,37.6,36,39.1,9727,2.57,863,1335,2409,3463,251,492,7093,2.99,12083,2356,7448,2279,2298475193,225126.9481
51,Point Z,1,51,78,Logansport,40.695819,-86.365904,40.695819,-86.365904,Logansport,2021-02-23T23:30:00Z,37,37,37,84,<Null>,32767,0,0,5,225,6,225,29.922,32,31,32,33,113,87,34,53,37.02092,37.79454,1073801001,147649.174,CASS,Cass,9,17,18017,40930,38352,527,127,221,17,1320,366,2905,20569,20361,2846,7740,2076,4162,5686,6124,6374,5922,36.7,34.8,38.6,15715,2.53,1661,2408,3729,5062,354,892,10928,3.01,16620,905,11577,4138,1874928893,195093.6424
52,Point Z,1,52,80,Raub,40.723125,-87.463008,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,39.39141,38.40856,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
53,Point Z,1,53,81,Fowler,40.69341,-87.25839,40.69341,-87.25839,Fowler,2021-02-23T23:30:00Z,37,38,37,86,<Null>,32767,0,0,1,180,3,180,29.913,32,34,35,36,21,18,12,13,37.00283,37.6089,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
54,Point Z,1,54,82,Fowler,40.60715,-87.403967,40.60715,-87.403967,Fowler,2021-02-23T23:45:00Z,36,39,36,85,<Null>,32767,0,0,1,135,4,157.5,30.024,32,32,33,34,9,12,7,9,36.02709,39.198,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
55,Point Z,1,55,83,Earl Park,40.661282,-87.467932,40.661282,-87.467932,Earl Park,2021-02-23T23:45:00Z,40,40,38,86,<Null>,32767,0,0,0,<Null>,0,<Null>,29.879,32,33,33,34,13,12,13,15,39.97024,39.01117,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
56,Point Z,1,56,84,Remington,40.667349,-87.134882,40.667349,-87.134882,Remington,2021-02-23T23:45:00Z,39,39,39,84,<Null>,32767,0,0,0,<Null>,0,<Null>,30.037,32,33,34,35,13,35,11,8,38.98018,37.90516,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
57,Point Z,0,57,85,Goodland,40.73778,-87.219055,40.73778,-87.219055,Goodland,2021-02-23T23:30:00Z,36,37,36,89,<Null>,32767,0,0,6,202.5,7,202.5,29.923,32,32,34,35,124,49,10,35,36.00229,36.69545,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
58,Point Z,1,58,86,Bringhurst,40.51346,-86.52579,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,39.2006,39.17221,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
59,Point Z,1,59,87,Delphi,40.631166,-86.667271,40.631166,-86.667271,Delphi,2021-02-23T23:45:00Z,39,41,39,80,<Null>,32767,0,0,1,247.5,2,247.5,29.895,32,32,33,34,17,14,8,11,39.0019,39.15774,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
60,Point Z,1,60,88,Idaville,40.702729,-86.630101,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,38.96346,38.97577,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
61,Point Z,1,61,89,Yoeman,40.688775,-86.736643,40.688775,-86.736643,Yoeman,2021-02-23T23:30:00Z,42,43,42,76,<Null>,32767,0,0,3,202.5,5,202.5,29.911,32,33,33,34,15,37,28,19,41.98186,40.27319,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
62,Point Z,1,62,90,Deer Creek,40.628255,-86.375592,40.628255,-86.375592,Deer Creek,2021-02-23T23:30:00Z,38,39,38,82,<Null>,32767,0,0,0,<Null>,0,<Null>,29.935,34,34,35,35,38,9,16,11,38.01604,38.26247,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
63,Point Z,1,63,91,Clymers,40.684705,-86.46786,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,38.78668,38.57624,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
64,Point Z,1,64,92,Deer Creek,40.623732,-86.447208,40.623732,-86.447208,Deer Creek,2021-02-23T23:15:00Z,39,40,39,81,<Null>,32767,0,0,5,225,7,225,30.128,31,31,31,32,200,200,200,200,38.9892,38.96664,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
65,Point Z,1,65,93,Wheeling,40.552261,-86.439149,40.552261,-86.439149,Wheeling,2021-02-23T23:45:00Z,38,40,38,78,<Null>,32767,0,0,1,202.5,3,202.5,29.915,35,32,33,34,200,60,14,24,38.02251,38.77125,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
66,Point Z,1,66,94,Cutler,40.463216,-86.543915,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,38.84352,39.25461,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
67,Point Z,1,67,95,Flora,40.536407,-86.551531,40.536407,-86.551531,Flora,2021-02-23T23:30:00Z,38,40,38,80,<Null>,32767,0,0,1,225,5,225,29.906,31,31,32,32,200,200,100,46,38.02481,38.84849,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
68,Point Z,1,68,96,Camden,40.624651,-86.523504,40.624651,-86.523504,Camden,2021-02-23T23:45:00Z,38,40,38,79,<Null>,32767,0,0,3,180,4,180,30.139,34,34,35,35,12,200,18,21,38.05671,38.88419,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
69,Point Z,1,69,97,Delphi,40.472148,-86.652874,40.472148,-86.652874,Delphi,2021-02-23T23:30:00Z,42,44,42,73,<Null>,32767,0,0,0,<Null>,0,<Null>,29.836,32,33,34,34,15,21,20,17,41.98582,41.2668,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
70,Point Z,1,70,98,Boswell,40.411898,-87.386022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,41.60622,41.44729,948193947.1,144068.6232,WARREN,Warren,86,171,18171,8419,8342,7,12,15,2,6,35,37,4267,4152,509,1684,313,689,1250,1287,1514,1173,38.2,36.6,39.9,3219,2.58,284,397,865,1223,79,129,2423,2.98,3477,258,2609,610,1635477879,189154.1783
71,Point Z,1,71,99,Hillsboro,40.00725,-87.10279,40.00725,-87.10279,Hillsboro,2021-02-23T23:45:00Z,48,49,47,65,<Null>,32767,0,0,2,225,4,225,30.128,32,33,33,34,20,19,8,8,47.99442,45.48898,1029786599,142438.1468,FOUNTAIN,Fountain,23,45,18045,17954,17722,19,36,32,1,50,94,190,8908,9046,1191,3520,771,1566,2574,2589,2949,2794,37.7,35.8,39.4,7041,2.52,700,1048,1778,2380,185,334,5038,3,7692,651,5482,1559,1764513518,186539.062
72,Point Z,1,72,100,Mellott,40.164185,-87.129829,40.164185,-87.129829,Mellott,2021-02-23T23:30:00Z,45,46,45,55,<Null>,32767,0,0,1,225,5,225,30.084,33,33,34,35,55,40,31,13,44.99746,44.55977,1029786599,142438.1468,FOUNTAIN,Fountain,23,45,18045,17954,17722,19,36,32,1,50,94,190,8908,9046,1191,3520,771,1566,2574,2589,2949,2794,37.7,35.8,39.4,7041,2.52,700,1048,1778,2380,185,334,5038,3,7692,651,5482,1559,1764513518,186539.062
73,Point Z,1,73,101,Hillsboro,40.05567,-87.158614,40.05567,-87.158614,Hillsboro,2021-02-23T23:30:00Z,44,45,44,76,<Null>,32767,0,0,5,0,9,0,29.906,33,33,34,35,19,28,20,13,44.00613,44.95869,1029786599,142438.1468,FOUNTAIN,Fountain,23,45,18045,17954,17722,19,36,32,1,50,94,190,8908,9046,1191,3520,771,1566,2574,2589,2949,2794,37.7,35.8,39.4,7041,2.52,700,1048,1778,2380,185,334,5038,3,7692,651,5482,1559,1764513518,186539.062
74,Point Z,1,74,102,Darlington,40.08745,-86.729214,40.08745,-86.729214,Darlington,2021-02-23T23:30:00Z,42,46,42,78,<Null>,32767,0,0,5,225,7,270,29.964,33,33,35,36,13,10,8,7,42.00848,42.72361,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
75,Point Z,1,75,103,Linden,40.145993,-86.847446,40.145993,-86.847446,Linden,2021-02-23T23:45:00Z,43,44,43,76,<Null>,32767,0,0,3,292.5,4,292.5,29.931,38,33,34,36,200,39,107,28,43.01494,43.52316,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
76,Point Z,1,76,104,Crawfordsville,40.018466,-86.940767,40.018466,-86.940767,Crawfordsville,2021-02-23T23:30:00Z,47,47,46,66,<Null>,32767,0,0,0,202.5,2,202.5,29.93,33,32,31,33,16,200,15,9,46.99322,45.57559,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
77,Point Z,1,77,105,North Salem,39.892397,-86.722756,39.892397,-86.722756,North Salem,2021-02-23T23:45:00Z,46,47,46,64,<Null>,32767,0,0,1,202.5,4,0,30.528,31,33,34,35,17,20,200,8,45.99193,44.38266,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
78,Point Z,1,78,106,New Ross,39.984197,-86.740364,39.984197,-86.740364,New Ross,2021-02-23T23:30:00Z,43,45,43,80,<Null>,32767,0,0,2,202.5,4,202.5,29.978,32,32,33,33,20,23,8,10,43.00407,43.68394,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
79,Point Z,1,79,107,Ladoga,39.9515,-86.803844,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,44.23652,44.36023,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
80,Point Z,1,80,108,Roachdale,39.870691,-86.826608,39.870691,-86.826608,Roachdale,2021-02-23T23:30:00Z,46,46,46,66,<Null>,32767,0,0,3,247.5,5,247.5,30.052,32,32,33,34,12,9,6,9,<Null>,<Null>,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
81,Point Z,1,81,109,Parkersburg,39.898632,-86.893312,39.898632,-86.893312,Parkersburg,2021-02-23T23:30:00Z,43,44,43,78,<Null>,32767,0,0,5,225,6,225,29.956,32,32,32,33,200,200,46,13,43.01004,44.40431,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
82,Point Z,1,82,110,Crawfordsville,39.929524,-86.896321,39.929524,-86.896321,Crawfordsville,2021-02-23T23:45:00Z,43,45,43,73,<Null>,32767,0,0,4,225,6,225,29.96,31,32,32,34,200,82,8,5,43.00895,44.473,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
83,Point Z,1,83,111,Crawfordsville,39.94515,-86.98748,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,44.8473,44.92569,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
84,Point Z,1,84,112,Waveland,39.883063,-87.011171,39.883063,-87.011171,Waveland,2021-02-23T23:30:00Z,44,45,44,74,<Null>,32767,0,0,5,247.5,6,225,30.038,32,32,33,34,55,14,115,95,44.00352,44.51974,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
85,Point Z,1,85,113,Boyleston,40.280842,-86.378521,40.280842,-86.378521,Boyleston,2021-02-23T23:45:00Z,39,40,39,82,<Null>,32767,0,0,0,<Null>,0,<Null>,29.908,32,32,33,34,58,33,31,12,39.0264,39.90782,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
86,Point Z,1,86,114,Michigantown,40.33221,-86.38949,40.33221,-86.38949,Michigantown,2021-02-23T23:30:00Z,43,44,43,77,<Null>,32767,0,0,2,202.5,5,225,29.689,32,32,34,37,200,162,27,21,42.92299,40.7896,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
87,Point Z,1,87,115,Frankfort,40.19144,-86.50895,40.19144,-86.50895,Frankfort,2021-02-23T23:30:00Z,41,44,41,67,<Null>,32767,0,0,0,225,3,225,29.982,32,33,34,34,25,48,38,35,41.00871,40.94283,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
88,Point Z,1,88,116,Frankfort,40.257054,-86.455001,40.257054,-86.455001,Frankfort,2021-02-23T23:30:00Z,42,42,42,79,<Null>,32767,0,0,0,<Null>,0,<Null>,29.953,33,34,34,35,10,200,8,9,41.98269,40.98447,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
89,Point Z,1,89,117,Frankfort,40.33982,-86.5305,40.33982,-86.5305,Frankfort,2021-02-23T23:45:00Z,42,43,41,74,<Null>,32767,0,0,1,247.5,2,247.5,29.737,33,33,34,34,10,11,9,7,41.96742,40.59092,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
90,Point Z,1,90,118,Frankfort,40.224599,-86.55297,40.224599,-86.55297,Frankfort,2021-02-23T23:45:00Z,41,42,41,78,<Null>,32767,0,0,3,202.5,5,202.5,29.939,32,32,33,34,15,12,200,9,40.98004,40.47448,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
91,Point Z,1,91,119,Forest,40.357423,-86.325579,40.357423,-86.325579,Forest,2021-02-23T23:30:00Z,37,38,37,85,<Null>,32767,0,0,3,247.5,5,247.5,29.948,31,32,33,32,107,58,46,23,37.06503,38.46264,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
92,Point Z,1,92,120,Forest,40.33095,-86.26613,40.33095,-86.26613,Forest,2021-02-23T23:30:00Z,40,41,40,79,<Null>,32767,0,0,0,<Null>,0,<Null>,29.936,32,32,33,34,200,33,<Null>,39,39.98642,39.33325,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
93,Point Z,1,93,121,Kempton,40.271916,-86.24617,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,39.57701,39.45109,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
94,Point Z,1,94,122,Kirklin,40.187308,-86.344278,40.187308,-86.344278,Kirklin,2021-02-23T23:30:00Z,39,41,39,82,<Null>,32767,0,0,2,270,4,270,29.946,32,32,32,34,94,11,8,84,39.00723,39.87265,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
95,Point Z,1,95,123,Hillisburg,40.256952,-86.352927,40.256952,-86.352927,Hillisburg,2021-02-23T23:30:00Z,40,40,40,81,<Null>,32767,0,0,0,<Null>,0,<Null>,29.947,31,32,33,32,200,<Null>,69,200,39.99255,39.98526,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
